Title,Link,Upload Date,View Count
What My Korean Grandma Made Me for Lunch Part 14🍥 #shorts,https://www.youtube.com/shorts/kkO6Pi9VreE,5개월 전,조회수 1791만회
What I Ate for Lunch at the Office in Korea Part 18 🇰🇷 #korea #southkorea #seoul #koreanfood,https://www.youtube.com/shorts/VxVo4cRxYTM,5일 전,조회수 2880만회
What I Ate for Lunch in 7/11 Korea,https://www.youtube.com/shorts/GVsFUEyfIjI,1년 전,조회수 215만회
Must-eat in Myeongdong 🇰🇷 #seoul #korea #koreanfood #streetfood #mukbang #koreanstreetfood #shorts,https://www.youtube.com/shorts/Iha2-lR7IR0,1년 전,조회수 987만회
"생생한 현장! 전통 시장 놀라운 길거리 음식 Top8 몰아보기, 떡볶이, 수제어묵, 순대, 통닭, 분식/ Top8 Vivid Market Food-Korean Street Food",https://www.youtube.com/watch?v=OKQygBOhEiE&pp=ygUKa29yZWEgZm9vZA%3D%3D,9개월 전,조회수 524만회
Library lunch in Korea🇰🇷 #mukbang #korea #foodie #korean #yummy #seoul #food #koreanfood,https://www.youtube.com/shorts/4SFjore0tIU,1년 전,조회수 635만회
Best KOREAN FOOD Tour Ever!! 33 Meals from Seoul to Busan! [Full Documentary],https://www.youtube.com/watch?v=RbpKkvlHYTw&pp=ygUKa29yZWEgZm9vZA%3D%3D,2개월 전,조회수 405만회
"1시간 순삭! 평소 궁금했던 깨끗한 한국의 식품공장(과즐,찰보리빵,배쌀빵,구운떡,김치) 몰아보기 / Clean korean food factory",https://www.youtube.com/watch?v=w-Bl7pjdsU0&pp=ygUKa29yZWEgZm9vZA%3D%3D,1년 전,조회수 3113만회
한국 분식을 처음 먹어본 영국 축구선수들의 반응!?,https://www.youtube.com/watch?v=1FP57skH7Q4&pp=ygUKa29yZWEgZm9vZA%3D%3D,2년 전,조회수 3453만회
한국 야구장 음식에 충격받은 해외 먹방 유튜버 반응ㅋㅋㅋㅋ,https://www.youtube.com/shorts/I-qH_s1NuOA,1년 전,조회수 445만회
Lunch of ordinary office workers in Korea🇰🇷 pt.24 #koreanfood  #food  #foodie #mukbang #cooking,https://www.youtube.com/shorts/nrGaICvZNo4,1년 전,조회수 1123만회
What I Ate for Lunch at the Office in Korea Part 2 🇰🇷 #korea #seoul #mukbang #koreanfood,https://www.youtube.com/shorts/c8PutbZO2Hs,6개월 전,조회수 3804만회
Korean convenience stores just hit different #conveniencestore #foodie #koreanfood,https://www.youtube.com/shorts/uQC4C2KBE_w,1년 전,조회수 1247만회
Lunch of ordinary office workers in Korea🇰🇷 pt.17 #koreanfood #food #foodie #cooking #mukbang,https://www.youtube.com/shorts/cVzbA6VGo6M,1년 전,조회수 5068만회
육즙 가득한 떡갈비 만들기 / korean style hamburger steak - tteokgalbi / korean street food,https://www.youtube.com/shorts/3JgMdypcopc,2년 전,조회수 773만회
What I Ate for Lunch at the Office in Korea Part 28 🇰🇷 #korea #southkorea #seoul #koreanfood,https://www.youtube.com/shorts/WbH9879fkmM,5개월 전,조회수 1451만회
Seoul street food MUKBANG🌭🍭 #shorts #funny #viral,https://www.youtube.com/shorts/xBYHv3flbrM,10개월 전,조회수 215만회
Who else loves tteokbokki? 😍🔥,https://www.youtube.com/shorts/-KyNkOUkIVI,3개월 전,조회수 2.8만회
24 Hour Ramen Convenience Store With No Workers 🍜🥢 #korea #southkorea #seoul #koreanfood,https://www.youtube.com/shorts/vLHFrCEqA7M,9개월 전,조회수 1.2억회
spending $6.25 at a korean convenience store 🍦,https://www.youtube.com/shorts/M1MedYMgyqE,1년 전,조회수 685만회
What i ate for meals in Korea Part 160 🇰🇷 #Korea #lunch #KoreanFood #mukbang #Shorts,https://www.youtube.com/shorts/bYmyfutlirw,8개월 전,조회수 882만회
What I Ate for Lunch at the Office in Korea Part 39 🇰🇷 #korea #southkorea #seoul #koreanfood,https://www.youtube.com/shorts/_pRLAX0mFaU,1년 전,조회수 468만회
What I Ate for Lunch at the Office in Korea Part 19 🇰🇷 #korea #southkorea #seoul #koreanfood,https://www.youtube.com/shorts/Bq83dA50jr8,2년 전,조회수 2059만회
Trying North Korean Food 🇰🇵 and Rating it out of 10,https://www.youtube.com/shorts/DDsWN4HcoWQ,7일 전,조회수 3113만회
When a Korean and Japanese eat together 🌯🍣,https://www.youtube.com/shorts/GO9FEYjCVxo,1년 전,조회수 395만회
Every Korean chicken mukbang,https://www.youtube.com/shorts/G4tw50gkreo,3년 전,조회수 104만회
Trying new foods in KOREA for 24 hours!🇰🇷🫰,https://www.youtube.com/shorts/R2KF7TPJ64M,1년 전,조회수 142만회
"예약안하면 줄서도 못먹는 터미널상가 2층 중국집! 고구마튀김을 2단으로 쌓아주는 역대급 산더미 짜장면, 해물폭탄 짬뽕 / 강화 금문도",https://www.youtube.com/watch?v=-wiRYfPpInU&pp=ygUKa29yZWEgZm9vZA%3D%3D,4개월 전,조회수 26만회
Lunch of ordinary office workers in Korea🇰🇷pt.162 #mukbang #food #koreafood #foodie #korea #seoul,https://www.youtube.com/shorts/p6Jl0oMKh-c,8개월 전,조회수 604만회
Lunch of ordinary office workers in Korea🇰🇷 pt.90 #asiancuisine #korea #food #koreafood #seoul,https://www.youtube.com/shorts/1Vx7NBlwOxs,2년 전,조회수 673만회
극강의 쫀득함! 콩나물은 덤? 17년 분식장인이 만드는 줄서서먹는 콩나물 가래떡 떡볶이 / 면목시장 온기담,https://www.youtube.com/watch?v=_cCRTvUMlUM&pp=ygUKa29yZWEgZm9vZA%3D%3D,1년 전,조회수 1012만회
Rating Korean Yangyum Chicken and Bibimbap 😍😋 | Most Expensive Korean Food 😱 | @sosaute,https://www.youtube.com/shorts/Jq5DxhICpAY,8개월 전,조회수 944만회
Korean lunch in 2050🇰🇷 #korea #food #mukbang #korean #yummy #seoul #koreanfood #tws #foodie,https://www.youtube.com/shorts/fSwdD0KHsMw,4개월 전,조회수 1341만회
Must try Street Food in South Korea! 🇰🇷,https://www.youtube.com/shorts/v-6XhUStf28,1년 전,조회수 5.1만회
Korean Street Egg Toast - Korean Street Food #shortsvideo,https://www.youtube.com/shorts/szUwp7uqpN8,1년 전,조회수 1791만회
Making Bibimbap (비빔밥) with our family ❤️ Korean mixed rice with veggies and more!,https://www.youtube.com/shorts/JjaA1yh6TYA,3개월 전,조회수 872만회
Buldak Fried Rice Hack,https://www.youtube.com/shorts/dLisW4Ssy-M,7일 전,조회수 1254만회
Best Korean food combinations 😋,https://www.youtube.com/shorts/h2ZGRg3m1A4,1년 전,조회수 222만회
Korean Convenience Store 🕺🏻,https://www.youtube.com/shorts/wD53rrW62aw,1년 전,조회수 1743만회
Korean food delivery is amazing - ordering black bean noodles! 🔥,https://www.youtube.com/shorts/8l45lcRhIz4,1년 전,조회수 1451만회
Come with me to find halal food in Seoul 😍,https://www.youtube.com/shorts/P5anqPw94pc,1년 전,조회수 839만회
"1시간 순삭! 평소 궁금했던 깨끗한 한국의 식품공장(과즐,찰보리빵,배쌀빵,구운떡,김치) 몰아보기 / Clean korean food factory",https://www.youtube.com/watch?v=w-Bl7pjdsU0&pp=ygUKa29yZWEgZm9vZA%3D%3D,6개월 전,조회수 775만회
What I Ate for Lunch in 7/11 Korea,https://www.youtube.com/shorts/GVsFUEyfIjI,1년 전,조회수 476만회
Korea food tech festival🇰🇷 #korean #korea #foodie #seoul #mukbang #foodie #food #yummy,https://www.youtube.com/shorts/Tnnq2ixvKz0,1개월 전,조회수 988만회
환상적인 설비와 제조과정의 한국 식품공장 대량생산 몰아보기 / Korea Food Factory,https://www.youtube.com/watch?v=-iiuZsG8HRc&pp=ygUKa29yZWEgZm9vZA%3D%3D,2년 전,조회수 307만회
What I Ate for Lunch at School in Korea Part 56 🇰🇷 #korea #southkorea #seoul #koreanfood,https://www.youtube.com/shorts/7dhEr4kuBiw,1년 전,조회수 38만회
보기만 해도 감칠 맛 나는 시장 음식 ! 다양한 시장음식 몰아보기 | Korean Traditional Market Foods | Korean Street Food,https://www.youtube.com/watch?v=3kpGv-nKAqc&pp=ygUKa29yZWEgZm9vZA%3D%3D,1년 전,조회수 1158만회
What I Ate for Lunch at the Office in Korea Part 37 🇰🇷 #korea #southkorea #seoul #koreanfood,https://www.youtube.com/shorts/zQfrMCL-Uz0,3개월 전,조회수 110만회
Everything I Ate at Gwangjang Market in Seoul,https://www.youtube.com/shorts/cQzCIkTSIgA,1년 전,조회수 2880만회
CVS Brown Food Challenge at a #koreanconveniencestore 🍫🤎 #asmreating #korea #foodie,https://www.youtube.com/shorts/m5WNBXWxhKY,1년 전,조회수 458만회
Can you afford the food in South Korea? 🤯🤔,https://www.youtube.com/shorts/gnHdNYWRkog,4년 전,조회수 4796만회
시장 버거 달인 - korean street food,https://www.youtube.com/shorts/SXkUyjC8h4I,2년 전,조회수 7707만회
Best KOREAN FOOD Tour Ever!! 33 Meals from Seoul to Busan! [Full Documentary],https://www.youtube.com/watch?v=RbpKkvlHYTw&pp=ygUKa29yZWEgZm9vZA%3D%3D,2년 전,조회수 2659만회
Collecting hearts in Korea like.. 💜❤️💖,https://www.youtube.com/shorts/DVeiPVdRh3o,1년 전,조회수 410만회
타코야끼 달인 / takoyaki master famous in korea - korean street food,https://www.youtube.com/shorts/bcDEqhX0wrU,5일 전,조회수 370만회
