,Title,Link,Upload Date,View Count,Absolute Upload Date
459,Korean Street Food! Korean style popular street food collection Korean Street Food,https://www.youtube.com/watch?v=V2CZ3DJM8G0&pp=ygUKa29yZWEgZm9vZA%3D%3D,4년 전,조회수 535회,2020-07-02 00:00:00
460,한국 대표 음식 삼겹살 korea food / 권프로티비,https://www.youtube.com/shorts/zaGAEEotYHo,1년 전,조회수 871만회,2023-07-02 00:00:00
461,직접 만든 버섯 해물찜 먹방! 팽이버섯 오징어 낙지 쭈꾸미 새우 SPICY SEAFOOD BOIL 🐙🦑 MUSHROOM EATING ASMR MUKBANG,https://www.youtube.com/watch?v=Vsv2w5_26Eg&pp=ygUKa29yZWEgZm9vZA%3D%3D,1년 전,조회수 6.7천회,2023-07-02 00:00:00
462,#강원도 #맛집 #손두부 #korea #food #diet,https://www.youtube.com/shorts/in5WI6gepAA,2년 전,조회수 6.2만회,2022-07-02 00:00:00
463,장 날이면 쉴새없는 가성비 시장 횟집 ! 현란한 달인의 회썰기 스킬 ! | Korean Market Fish Cutting Master ! | Korean Street Food,https://www.youtube.com/watch?v=4RsZUd_ijPY&pp=ygUKa29yZWEgZm9vZA%3D%3D,6개월 전,조회수 1.3만회,2024-01-03 00:00:00
464,Best food in Korean🇰🇷 convenience store #asmr #mukbang #korea #food #ramen #kimbap #buldak #kfood,https://www.youtube.com/shorts/5w4zJoLpL-w,1년 전,조회수 85만회,2023-07-02 00:00:00
465,"자취생 아침메뉴 - 당근라페 샌드위치 🥕 korean cooking videos at home, what i eat in a day korean vlog",https://www.youtube.com/shorts/JJj5Iw842Cw,4년 전,조회수 3.3천회,2020-07-02 00:00:00
466,#koreanfood #food #foodie #korean #korea #mukbang,https://www.youtube.com/shorts/2NNo-ZjpBqk,7일 전,조회수 25만회,2024-06-24 00:00:00
467,Trying Indian 🇮🇳Food in Korea: Samosas #shorts #foodie #eating #indianfood #mukbang #asmr,https://www.youtube.com/shorts/zpfucxfj9p8,3년 전,조회수 1.1만회,2021-07-02 00:00:00
468,Korean food #minivolgs #korea #koreanfood #corndog #viral #shorts #short #food #foodie #viralshorts,https://www.youtube.com/shorts/5aFGTnOjHgY,3년 전,조회수 1272만회,2021-07-02 00:00:00
469,1시간 순삭! 압도적인 스케일의 한국 학교 급식부터 식품공장 길거리음식 대량생산 몰아보기 / School Lunch & Food Factory / korean street food,https://www.youtube.com/watch?v=b9ExuwT_7HE&pp=ygUKa29yZWEgZm9vZA%3D%3D,2년 전,조회수 112만회,2022-07-02 00:00:00
470,korean fast food #맛있는 #korea #food #맛집 #koreantourism #먹방 #먹기 #식단 #한국 #mukbang #habibi #beef #1k,https://www.youtube.com/shorts/LpRC_harALo,3일 전,조회수 5.4천회,2024-06-28 00:00:00
471,김밥을 처음 먹어본 스파이더맨 배우 톰 홀랜드의  반응?!,https://www.youtube.com/shorts/hCZp06Mln6k,1년 전,조회수 4797만회,2023-07-02 00:00:00
472,김밥으로 난리난 미국에서 한국음식 팔자 초대박난 현재 근황 ㄷㄷ.. (미국 현지 반응),https://www.youtube.com/watch?v=hwUxoJYrlIE&pp=ygUKa29yZWEgZm9vZA%3D%3D,1년 전,조회수 12만회,2023-07-02 00:00:00
473,#중국집 #울면 #korea #food #shorts,https://www.youtube.com/shorts/H5cUASzur64,11년 전,조회수 9.3천회,2013-07-04 00:00:00
474,고슬고슬 중화 계란볶음밥 / egg fried rice - korean street food,https://www.youtube.com/watch?v=9KZsgt5ENB4&pp=ygUKa29yZWEgZm9vZA%3D%3D,2일 전,조회수 425회,2024-06-29 00:00:00
475,Ich habe die BESTEN Food Hotspots in Korea getestet! 🇰🇷,https://www.youtube.com/watch?v=zbIN6WmDigw&pp=ygUKa29yZWEgZm9vZA%3D%3D,9일 전,조회수 5천회,2024-06-22 00:00:00
476,아주 맛있는^^ #asmrfood #koreanfood #korea #food #편의점 #라면 ❤,https://www.youtube.com/shorts/-Ke-YO5Zdew,4일 전,조회수 41회,2024-06-27 00:00:00
477,북해도 임연수 작업~~🙌😍😋 #korea #food #india #china #japan #usa #fish #shorts #youtubeshorts,https://www.youtube.com/shorts/RWLVxpIpZFo,7일 전,조회수 1만회,2024-06-24 00:00:00
